abertura;fechamento;maximo;minimo
66093.04;65998.85;66120;65935.49
65998.85;65876.62;66000.08;65780.58
65876.62;65650.43;65901.54;65500.98
65650.42;65716;65776.26;65521.46
65715.99;65405.07;65821.14;65235.02
65405.07;65741.95;65779.22;65200
65741.94;65692.78;65741.95;65495.98
65692.77;65723.4;65738.81;65564.24
65723.4;65708;65793.3;65603.6
65707.99;65789.43;65802.22;65672.4
65789.43;65815.96;65933.76;65746
65815.96;65725.27;65830;65675.59
65725.27;65593.11;65828;65561.06
65593.11;65488.77;65598.2;65360
65488.76;65463.99;65557.48;65401.4
65463.99;65343.99;65610;65326.64
65344;65100;65574.2;65064.52
65099.99;65179.08;65230.95;64493.07
65179.09;65387.99;65451.61;65179.08
65388;65264;65391.97;65090
65263.99;65421.9;65568.96;65263.99
65421.91;65452;65612.9;65362.96
65451.99;65792.43;65930.51;65440.01
65792.42;65816.01;66052;65788.52
65816;65890.14;65929.59;65683.74
65890.13;65795.28;65912;65758.8
65795.28;65906.49;65964;65795.27
65906.49;65843.75;65922.37;65764
65843.75;65833.31;66100;65826.75
65833.31;66060.1;66067.25;65826.6
66060.1;66225.79;66288.88;65952.01
66225.79;66214.8;66361.63;66188
66214.8;66331.14;66346.92;66120
66331.15;66240;66478.59;66216
66240.01;66320.41;66352.15;66234.94
66320.41;66227.99;66363.64;66199.99
66228;66136.41;66228;66040
66136.41;66003.31;66136.41;65921.05
66003.34;66077.1;66092;65920
66077.11;66150.2;66243.39;66052
66150.19;66293.11;66335.77;66120
66293.12;66227.01;66354.41;66210.62
66227.01;66350.79;66377;66227
66350.79;66432.01;66446.41;66168.55
66432.01;66285.78;66483.87;66270
66285.79;66317.21;66349.26;66173.3
66317.21;66135.99;66330.86;66113.31
66135.98;66085.39;66138;65990
66085.39;66156.56;66225.8;66065.1
66156.56;66548.4;66642.36;66156.55
66548.39;66518.04;66630.87;66436.01
66518.05;66424.41;66637.43;66400.01
66424.41;66448.51;66471.27;66383.58
66448.51;66422.54;66527.2;66363.64
66422.55;66484.58;66617.02;66333
66484.57;66356;66519.79;66332
66356.01;66300.9;66428.57;66278.43
66300.89;66116;66355.87;66020
66116;66197.62;66200;66039.99
66197.63;65668.76;66224;65538.06
65668.76;65855.99;65901.75;65614.59
65855.99;65945.94;66050;65830.03
65945.95;66059.76;66183.78;65871.04
66059.75;66156;66220;65956.7
66155.99;65909.59;66156;65865.39
65909.58;65815.95;65940;65729.73
65815.95;65899.99;65927.01;65787.24
65900;65946.3;66020.83;65894
65946.31;65723.34;65946.31;65650
65723.34;65696.99;65957.1;65635.01
65696.98;65804.01;65944.95;65650
65804.01;66628.84;66730;65804
66628.84;66764.88;66903.63;66419.36
66764.87;66472.68;66796;66428.58
66472.68;66627.93;66630;66400
66627.93;66458;66648;66315.74
66458.01;66279.43;66512;66201
66279.43;65844.15;66280;65715.67
